"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Tackles","","Tackles for Loss","","","Sacks","","","","Pass Breakups","Forced Fumbles","QB Hurries","Blocked Kicks"
"","","","","","","Unassisted","Assisted","Unassisted","Assisted","Yards","Unassisted","Assisted","Yards","No.","No.","No.","No."
"721","Air Force","11/03/12","92","ALY","","0","1","","","","","","","","","",""
"721","Air Force","09/01/12","2","ATRICE","STEPHAN","1","1","","","","","","","","","",""
"721","Air Force","09/08/12","2","ATRICE","STEPHAN","2","0","","","","","","","","","",""
"721","Air Force","09/22/12","2","ATRICE","STEPHAN","0","1","","","","","","","","","",""
"721","Air Force","11/03/12","2","ATRICE","STEPHAN","5","4","","","","","","","","","",""
"721","Air Force","11/10/12","2","ATRICE","STEPHAN","2","0","","","","","","","","","",""
"721","Air Force","11/16/12","2","ATRICE","STEPHAN","4","3","","","","","","","1","1","",""
"721","Air Force","11/24/12","2","ATRICE","STEPHAN","4","0","","","","","","","","","",""
"721","Air Force","12/29/12","2","ATRICE","STEPHAN","4","0","1","0","5","","","","","","",""
"721","Air Force","12/29/12","41","BARNES","REGGIE","1","0","1","0","10","1","0","10","","","",""
"721","Air Force","09/01/12","23","BATTS","STEFFON","8","3","","","","","","","","","",""
"721","Air Force","09/08/12","23","BATTS","STEFFON","4","1","","","","","","","1","","",""
"721","Air Force","09/22/12","23","BATTS","STEFFON","5","3","","","","","","","","","",""
"721","Air Force","09/29/12","23","BATTS","STEFFON","4","2","","","","","","","","","",""
"721","Air Force","10/06/12","23","BATTS","STEFFON","3","1","","","","","","","","","",""
"721","Air Force","10/13/12","23","BATTS","STEFFON","8","2","","","","","","","","","",""
"721","Air Force","10/20/12","23","BATTS","STEFFON","3","6","","","","","","","","","",""
"721","Air Force","10/26/12","23","BATTS","STEFFON","5","3","","","","","","","2","","",""
"721","Air Force","11/03/12","23","BATTS","STEFFON","0","1","","","","","","","","","",""
"721","Air Force","11/10/12","23","BATTS","STEFFON","2","1","","","","","","","","","",""
"721","Air Force","11/16/12","23","BATTS","STEFFON","","","","","","","","","2","","",""
"721","Air Force","11/24/12","23","BATTS","STEFFON","5","1","","","","","","","","","",""
"721","Air Force","12/29/12","23","BATTS","STEFFON","5","1","","","","","","","","1","",""
"721","Air Force","09/29/12","54","BUNGUM","","1","0","","","","","","","","","",""
"721","Air Force","10/13/12","54","BUNGUM","","0","1","","","","","","","","","",""
"721","Air Force","10/20/12","17","BYRD","JAMAL","0","1","","","","","","","","","",""
"721","Air Force","11/03/12","17","BYRD","JAMAL","1","0","","","","","","","","","",""
"721","Air Force","11/24/12","17","BYRD","JAMAL","4","0","","","","","","","","","",""
"721","Air Force","09/22/12","99","CANNADA","BRICETON","1","0","","","","","","","","","",""
"721","Air Force","10/20/12","99","CANNADA","BRICETON","0","1","","","","","","","","","",""
"721","Air Force","11/16/12","99","CANNADA","BRICETON","0","1","","","","","","","","","",""
"721","Air Force","09/01/12","95","CANNON","RILEY","2","1","","","","","","","","","",""
"721","Air Force","09/22/12","95","CANNON","RILEY","2","0","","","","","","","","","",""
"721","Air Force","10/06/12","95","CANNON","RILEY","1","0","","","","","","","","","",""
"721","Air Force","10/13/12","95","CANNON","RILEY","0","1","","","","","","","","","",""
"721","Air Force","10/26/12","95","CANNON","RILEY","0","1","","","","","","","","","",""
"721","Air Force","11/24/12","95","CANNON","RILEY","1","1","","","","","","","","","",""
"721","Air Force","09/01/12","45","CHAMBERS","JAMES","1","3","","","","","","","","","",""
"721","Air Force","09/22/12","45","CHAMBERS","JAMES","1","1","","","","","","","","","",""
"721","Air Force","09/29/12","45","CHAMBERS","JAMES","3","2","1","0","2","","","","1","","",""
"721","Air Force","10/06/12","45","CHAMBERS","JAMES","1","8","0","1","1","","","","","","",""
"721","Air Force","10/13/12","45","CHAMBERS","JAMES","5","5","","","","","","","","","",""
"721","Air Force","10/20/12","45","CHAMBERS","JAMES","3","5","1","0","1","","","","","","",""
"721","Air Force","10/26/12","45","CHAMBERS","JAMES","3","4","2","0","2","","","","","","",""
"721","Air Force","11/03/12","45","CHAMBERS","JAMES","6","1","","","","","","","","","",""
"721","Air Force","11/10/12","45","CHAMBERS","JAMES","2","0","","","","","","","","","",""
"721","Air Force","11/16/12","45","CHAMBERS","JAMES","1","2","","","","","","","","","",""
"721","Air Force","11/24/12","45","CHAMBERS","JAMES","6","3","1","0","8","","","","1","","",""
"721","Air Force","12/29/12","45","CHAMBERS","JAMES","4","2","","","","","","","","","",""
"721","Air Force","09/01/12","47","CHAMPAIGN","JOSEPH","1","4","1","1","8","1","0","8","","","",""
"721","Air Force","09/22/12","47","CHAMPAIGN","JOSEPH","1","4","","","","","","","","","",""
"721","Air Force","09/29/12","47","CHAMPAIGN","JOSEPH","0","1","","","","","","","","","",""
"721","Air Force","10/06/12","47","CHAMPAIGN","JOSEPH","2","1","","","","","","","","","",""
"721","Air Force","11/03/12","47","CHAMPAIGN","JOSEPH","1","4","","","","","","","","","",""
"721","Air Force","11/16/12","47","CHAMPAIGN","JOSEPH","3","2","1","2","18","1","1","17","","","",""
"721","Air Force","09/22/12","35","COBB","WES","1","0","","","","","","","","","",""
"721","Air Force","11/10/12","35","COBB","WES","1","0","","","","","","","","","",""
