"Institution ID","Institution","Game Date","Opponent ID","Opponent Name","Score For","Score Against","Location"
"6","Alabama A&M","09/01/12","720","Tuskegee","7","6","Neutral Site"
"6","Alabama A&M","09/08/12","2678","Ark.-Pine Bluff","14","10","Away"
"6","Alabama A&M","09/15/12","553","Prairie View","42","30","Home"
"6","Alabama A&M","09/22/12","699","Texas Southern","42","13","Away"
"6","Alabama A&M","09/29/12","261","Grambling","38","17","Home"
"6","Alabama A&M","10/06/12","432","Mississippi Val.","35","0","Away"
"6","Alabama A&M","10/13/12","17","Alcorn St.","20","21","Home"
"6","Alabama A&M","10/27/12","7","Alabama St.","13","31","Neutral Site"
"6","Alabama A&M","11/03/12","665","Southern U.","24","23","Home"
"6","Alabama A&M","11/10/12","314","Jackson St.","21","35","Away"
"6","Alabama A&M","11/17/12","37","Auburn","7","51","Away"
"7","Alabama St.","09/02/12","61","Bethune-Cookman","28","38","Neutral Site"
"7","Alabama St.","09/08/12","432","Mississippi Val.","29","7","Home"
"7","Alabama St.","09/15/12","261","Grambling","19","18","Away"
"7","Alabama St.","09/20/12","2678","Ark.-Pine Bluff","21","24","Home"
"7","Alabama St.","09/29/12","17","Alcorn St.","54","14","Away"
"7","Alabama St.","10/06/12","699","Texas Southern","45","0","Home"
"7","Alabama St.","10/13/12","314","Jackson St.","34","37","Home"
"7","Alabama St.","10/27/12","6","Alabama A&M","31","13","Neutral Site"
"7","Alabama St.","11/03/12","553","Prairie View","35","21","Away"
"7","Alabama St.","11/10/12","665","Southern U.","31","30","Away"
"7","Alabama St.","11/22/12","720","Tuskegee","25","27","Home"
"14","Albany (NY)","09/01/12","153","Colgate","40","23","Home"
"14","Albany (NY)","09/08/12","579","Robert Morris","35","10","Away"
"14","Albany (NY)","09/15/12","817","Youngstown St.","24","31","Away"
"14","Albany (NY)","09/22/12","380","Maine","30","20","Away"
"14","Albany (NY)","09/29/12","439","Monmouth","55","24","Home"
"14","Albany (NY)","10/06/12","81","Bryant","31","14","Away"
"14","Albany (NY)","10/13/12","600","St. Francis (PA)","36","13","Home"
"14","Albany (NY)","10/27/12","590","Sacred Heart","23","20","Away"
"14","Albany (NY)","11/03/12","748","Wagner","0","30","Home"
"14","Albany (NY)","11/10/12","194","Duquesne","38","31","Away"
"14","Albany (NY)","11/17/12","127","Central Conn. St.","63","34","Home"
