number,lab01,lab02,lab03,lab04,lab05,lab06,lab07,lab08,lab09,lab10,lab11,lab12,hw01,hw02,hw03,hw04,hw05,hw06,hw07,hw08,hw09,hw10,hw11,qz01,qz02,qz03
1,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,9,10,10,9,10,7,,3,85,100,60
2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,6,10,7,10,10,100,90,100
3,10,10,10,10,10,10,10,10,10,10,10,,10,8,10,10,9,10,10,10,10,10,,83,92.5,100
4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,8,100,100,100
5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,7,97,100,96.67
6,10,10,10,10,10,10,,,10,10,,,5,0,9,0,10,,8,,5,,,33,77.5,73.33
7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,8,10,10,10,8,90,77.5,100
8,10,10,10,10,10,10,10,,,10,10,10,10,10,0,0,,10,,,,,,50.81,47.5,6.67
9,10,10,10,8,10,10,10,10,10,,10,10,10,9,9,9,10,10,9,10,9,,,100,80,80
10,10,10,0,10,10,10,10,,,10,,,8,9,0,0,10,,,,9,10,,41,22.5,0
11,10,10,10,10,10,10,10,10,10,,10,10,10,9,10,0,10,10,,10,7,5,,44,95,80
12,10,10,10,10,10,10,10,10,10,10,,10,9,10,10,10,10,10,9,10,10,10,5,100,47.5,100
13,10,10,10,10,10,10,,10,10,10,10,10,,9,10,10,,10,10,,9,10,10,77,80,86.67
14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100
15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,10,10,9,10,8,10,5,100,100,100
16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,9,10,10,10,,100,100,100
17,10,10,10,10,8,10,10,,,10,,10,10,10,9,10,,,,,,,,74,10,0
18,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,9,,,,,,,82,32.5,0
19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,7,10,9,97,92.5,83.33
20,10,10,10,10,0,10,10,10,10,10,10,,10,9,10,10,9,10,,,,,,92,92.5,6.67
21,10,10,10,10,10,10,,10,10,10,10,,10,9,10,9,8,10,9,10,10,10,,59,85,53.33
22,10,10,10,10,9.5,10,10,10,10,10,10,10,10,10,9,10,,10,10,10,10,10,10,100,100,100
23,10,10,10,10,10,10,10,10,10,10,,,10,10,10,10,9,10,10,10,10,10,10,72,97.5,100
24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,,10,10,10,8,69,100,100
25,10,10,10,10,10,10,10,10,10,10,,10,9,9,10,10,10,10,10,10,10,10,10,100,100,100
26,10,10,10,10,8,10,10,10,10,10,,10,10,10,10,10,10,10,9,10,10,10,8,100,20,100
27,10,10,10,10,10,10,10,10,,10,10,10,10,10,9,10,,10,10,10,10,10,8,100,100,100
28,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,9,10,10,10,10,,8,100,100,100
29,10,10,10,10,10,10,10,10,10,10,10,,7,7,10,7,5,10,,10,9,,,36,67.5,66.67
30,10,10,10,10,10,10,10,10,10,10,10,,10,9,10,10,10,10,10,10,10,10,10,90,100,100
31,10,0,10,10,0,10,,,,,,,0,0,0,0,,,,,,,,0,0,0
32,10,5,,,,,,,,,,,,,,,,,,,,,,33,15,73.33
33,10,10,10,10,10,10,10,,10,10,10,10,9,10,10,10,10,10,10,10,9,10,10,97,100,100
34,10,10,10,10,10,10,10,,,,10,10,10,9,10,9,,10,,10,10,10,,100,95,83.33
35,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,9,10,8,10,7,10,10,100,100,100
36,10,10,10,10,8,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,100,100,100
37,10,10,10,10,10,10,10,10,10,10,10,,10,,10,9,10,,9,10,9,10,,87,52.5,43.33
38,10,10,10,10,10,10,,10,10,10,10,,10,10,9,9,,,8,,5,,,97,90,93.33
39,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,8,10,9,10,10,10,,100,100,100
40,10,10,10,10,10,10,10,10,10,10,10,,10,10,9,10,,10,9,,,10,,56,52.5,100
41,10,10,10,10,10,10,10,10,10,10,,10,10,10,9,0,10,10,,,,,,77,57.5,46.67
42,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,7,10,10,,8,46,87.5,36.67
43,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,8,10,,9,10,10,10,8,100,85,76.67
44,10,10,10,10,8.5,10,10,10,10,10,10,10,,9,10,0,6,,8,10,8,10,6,100,100,100
45,10,10,10,10,10,0,,10,10,,,,10,10,9,9,10,10,9,10,,10,3,77,20,53.33
46,10,10,10,5,10,10,10,10,10,,10,10,10,9,9,9,9,10,,10,10,10,8,95,100,100
47,10,10,10,10,10,10,10,10,10,10,10,,10,9,10,10,10,10,9,10,10,10,6,97,92.5,100
48,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,9,10,10,10,10,100,100,100
49,10,10,10,10,10,10,10,,10,10,10,10,,9,9,8,8,,9,10,6,10,,95,57.5,96.67
50,10,10,10,10,10,10,10,,10,,10,10,10,10,10,10,10,10,10,10,10,10,,92,65,73.33
51,10,10,10,10,10,10,10,10,10,10,10,,10,9,8,10,8,10,8,10,10,10,10,100,100,100
52,10,10,10,8,10,10,10,10,10,10,10,10,9,9,8,0,9,,8,10,8,10,6,85,100,100
53,10,10,10,0,10,10,,10,10,10,10,,10,10,9,10,9,,10,10,,,,100,70,73.33
54,10,10,10,10,10,10,10,10,10,10,10,10,5,9,10,10,9,10,10,10,7,10,10,74,47.5,46.67
55,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,,10,8,10,,10,8,100,100,100
56,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,8,100,100,100
57,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,6,10,10,10,10,7,10,,56,67.5,46.67
58,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,9,10,10,6,8,100,100,100
59,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,8,10,10,10,10,100,100,100
60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,100,100,100
61,10,10,10,10,0,10,,,10,10,,,7,7,7,0,7,10,10,10,10,10,8,0,0,0
62,10,10,10,10,10,10,10,10,10,10,10,10,8,9,10,8,8,10,10,10,8,5,8,100,100,100
63,10,10,10,10,10,10,10,,10,10,10,10,9,9,9,8,9,,10,10,7,10,,95,80,33.33
64,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,8,10,8,100,100,100
65,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,7,10,,,10,10,,72,0,3.33
