Year,Team,Player,Targets,Catches,Yards,CatchRate,YdsPerTarget,Target %,YdsPerCatch,Standard Targets,Standard Catches,Standard Yards,Standard CatchRate,Standard YdsPerTarget,Standard Target %,Standard YdsPerCatch,Passing Targets,Passing Catches,Passing Yards,Passing CatchRate,Passing YdsPerTarget,Passing Target %,Passing YdsPerCatch
2009,Bowling Green,Freddie Barnes,224,155,1769,69.2%,7.9,38.6%,11.4,123,82,949,66.7%,7.7,38.0%,11.6,101,73,820,72.3%,8.1,39.5%,11.2
2011,Western Michigan,Jordan White,203,140,1911,69.0%,9.4,38.4%,13.7,127,92,1296,72.4%,10.2,38.0%,14.1,76,48,615,63.2%,8.1,39.0%,12.8
2007,Texas Tech,Michael Crabtree,183,134,1962,73.2%,10.7,24.7%,14.6,134,97,1353,72.4%,10.1,26.6%,13.9,49,37,609,75.5%,12.4,20.7%,16.5
2010,Oklahoma,Ryan Broyles,179,131,1622,73.2%,9.1,28.8%,12.4,125,94,1058,75.2%,8.5,33.7%,11.3,54,37,564,68.5%,10.4,21.5%,15.2
2011,Rutgers,Mohamed Sanu,176,115,1206,65.3%,6.9,39.7%,10.5,98,70,697,71.4%,7.1,43.6%,10.0,78,45,509,57.7%,6.5,35.8%,11.3
2011,USC,Robert Woods,166,111,1292,66.9%,7.8,38.5%,11.6,114,83,992,72.8%,8.7,38.9%,12.0,52,28,300,53.8%,5.8,37.7%,10.7
2007,Ball State,Dante Love,163,100,1396,61.3%,8.6,34.8%,14.0,93,53,787,57.0%,8.5,33.7%,14.8,70,47,609,67.1%,8.7,36.3%,13.0
2010,Hawaii,Greg Salas,160,119,1889,74.4%,11.8,27.1%,15.9,113,87,1385,77.0%,12.3,27.6%,15.9,47,32,504,68.1%,10.7,25.8%,15.8
2011,Oklahoma State,Justin Blackmon,160,121,1522,75.6%,9.5,28.0%,12.6,116,87,1041,75.0%,9.0,28.6%,12.0,44,34,481,77.3%,10.9,26.5%,14.1
2007,North Texas,Casey Fitzgerald,160,111,1315,69.4%,8.2,31.6%,11.8,97,72,839,74.2%,8.6,32.7%,11.7,63,39,476,61.9%,7.6,30.1%,12.2
2008,North Texas,Casey Fitzgerald,160,111,1103,69.4%,6.9,33.1%,9.9,92,67,516,72.8%,5.6,31.5%,7.7,68,44,587,64.7%,8.6,35.4%,13.3
2009,Missouri,Danario Alexander,159,113,1781,71.1%,11.2,36.1%,15.8,106,79,1336,74.5%,12.6,39.0%,16.9,53,34,445,64.2%,8.4,31.5%,13.1
2007,Kansas State,Jordy Nelson,159,120,1586,75.5%,10.0,32.8%,13.2,103,82,1131,79.6%,11.0,34.2%,13.8,56,38,455,67.9%,8.1,30.4%,12.0
2006,Rice,Jarett Dillard,159,91,1247,57.2%,7.8,39.6%,13.7,89,55,652,61.8%,7.3,39.9%,11.9,70,36,595,51.4%,8.5,39.1%,16.5
2011,Toledo,Eric Page,158,124,1158,78.5%,7.3,38.4%,9.3,102,82,774,80.4%,7.6,43.0%,9.4,56,42,384,75.0%,6.9,32.2%,9.1
2010,Bowling Green,Kamar Jorden,157,96,1109,61.1%,7.1,37.3%,11.6,94,61,670,64.9%,7.1,39.2%,11.0,63,35,439,55.6%,7.0,34.8%,12.5
2009,Hawaii,Greg Salas,154,106,1591,68.8%,10.3,28.4%,15.0,105,81,1179,77.1%,11.2,30.4%,14.6,49,25,412,51.0%,8.4,24.9%,16.5
2008,Western Michigan,Jamarko Simmons,154,104,1265,67.5%,8.2,29.4%,12.2,96,67,852,69.8%,8.9,28.7%,12.7,58,37,413,63.8%,7.1,30.5%,11.2
2009,Houston,James Cleveland,154,104,1214,67.5%,7.9,21.5%,11.7,111,76,873,68.5%,7.9,22.2%,11.5,43,28,341,65.1%,7.9,20.0%,12.2
2009,Kansas,Kerry Meier,153,102,985,66.7%,6.4,31.2%,9.7,106,73,636,68.9%,6.0,33.0%,8.7,47,29,349,61.7%,7.4,27.8%,12.0
2005,Miami-OH,Martin Nance,152,81,1107,53.3%,7.3,36.1%,13.7,86,50,680,58.1%,7.9,34.4%,13.6,66,31,427,47.0%,6.5,38.6%,13.8
2008,BYU,Austin Collie,151,106,1534,70.2%,10.2,32.2%,14.5,104,72,909,69.2%,8.7,32.7%,12.6,47,34,625,72.3%,13.3,31.1%,18.4
2005,USC,Dwayne Jarrett,150,91,1274,60.7%,8.5,32.8%,14.0,111,69,955,62.2%,8.6,33.8%,13.8,39,22,319,56.4%,8.2,30.2%,14.5
2007,Rice,Jarett Dillard,150,79,1055,52.7%,7.0,29.9%,13.4,95,52,711,54.7%,7.5,29.2%,13.7,55,27,344,49.1%,6.3,31.3%,12.7
2006,Texas Tech,Joel Filani,149,91,1300,61.1%,8.7,23.8%,14.3,101,63,885,62.4%,8.8,23.7%,14.0,48,28,415,58.3%,8.6,24.0%,14.8
2007,Hawaii,Davone Bess,149,108,1266,72.5%,8.5,23.4%,11.7,101,70,817,69.3%,8.1,22.7%,11.7,48,38,449,79.2%,9.4,25.1%,11.8
2010,Oklahoma State,Justin Blackmon,148,111,1782,75.0%,12.0,28.9%,16.1,103,76,1236,73.8%,12.0,30.4%,16.3,45,35,546,77.8%,12.1,26.0%,15.6
2008,Buffalo,Naaman Roosevelt,148,104,1402,70.3%,9.5,33.0%,13.5,85,57,738,67.1%,8.7,34.1%,12.9,63,47,664,74.6%,10.5,31.7%,14.1
2007,Indiana,James Hardy,148,79,1125,53.4%,7.6,34.3%,14.2,87,45,618,51.7%,7.1,34.1%,13.7,61,34,507,55.7%,8.3,34.5%,14.9
2010,Western Michigan,Juan Nunez,148,91,1032,61.5%,7.0,32.5%,11.3,97,62,724,63.9%,7.5,32.7%,11.7,51,29,308,56.9%,6.0,32.1%,10.6
2009,Texas,Jordan Shipley,147,116,1485,78.9%,10.1,28.8%,12.8,91,72,948,79.1%,10.4,29.9%,13.2,56,44,537,78.6%,9.6,27.1%,12.2
2011,California,Keenan Allen,147,97,1336,66.0%,9.1,35.4%,13.8,83,57,778,68.7%,9.4,35.0%,13.6,64,40,558,62.5%,8.7,36.0%,14.0
2007,Akron,Jabari Arthur,146,86,1171,58.9%,8.0,42.6%,13.6,81,51,681,63.0%,8.4,44.3%,13.4,65,35,490,53.8%,7.5,40.6%,14.0
2008,Texas Tech,Michael Crabtree,146,97,1165,66.4%,8.0,22.8%,12.0,104,68,758,65.4%,7.3,23.0%,11.1,42,29,407,69.0%,9.7,22.3%,14.0
2011,Baylor,Kendall Wright,145,108,1672,74.5%,11.5,34.9%,15.5,104,78,1048,75.0%,10.1,37.7%,13.4,41,30,624,73.2%,15.2,29.3%,20.8
