Player,Year,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC,lg_yd0,lg_td0,names_year
Michael Thomas,2019,NO,16,149,1725,11.58,107.8,49,9,91,185,579,49,0,Michael Thomas 2019
Christian McCaffrey,2019,CAR,16,116,1005,8.66,62.8,28,4,58,142,987,28,0,Christian McCaffrey 2019
Keenan Allen,2019,LAC,16,104,1199,11.53,74.9,45,6,63,149,369,45,0,Keenan Allen 2019
DeAndre Hopkins,2019,HOU,15,104,1165,11.2,77.7,43t,7,68,150,387,43,1,DeAndre Hopkins 2019
Julian Edelman,2019,NE,16,100,1117,11.17,69.8,44,6,54,153,320,44,0,Julian Edelman 2019
Julio Jones,2019,ATL,15,99,1394,14.08,92.9,54t,6,77,157,342,54,1,Julio Jones 2019
Allen Robinson,2019,CHI,16,98,1147,11.7,71.7,49,7,63,154,272,49,0,Allen Robinson 2019
Travis Kelce,2019,KC,16,97,1229,12.67,76.8,47,5,66,136,410,47,0,Travis Kelce 2019
Cooper Kupp,2019,LA,16,94,1161,12.35,72.6,66,10,51,134,538,66,0,Cooper Kupp 2019
Austin Ekeler,2019,LAC,16,92,993,10.79,62.1,84t,8,42,108,940,84,1,Austin Ekeler 2019
Tyler Boyd,2019,CIN,16,90,1046,11.62,65.4,47,5,51,148,348,47,0,Tyler Boyd 2019
Darren Waller,2019,OAK,16,90,1145,12.72,71.6,75,3,53,117,578,75,0,Darren Waller 2019
Robert Woods,2019,LA,15,90,1134,12.6,75.6,48,2,54,139,576,48,0,Robert Woods 2019
Zach Ertz,2019,PHI,15,88,916,10.41,61.1,30,6,50,135,255,30,0,Zach Ertz 2019
D.J. Moore,2019,CAR,15,87,1175,13.51,78.3,52t,4,63,135,390,52,1,D.J. Moore 2019
Chris Godwin,2019,TB,14,86,1333,15.5,95.2,71t,9,63,121,577,71,1,Chris Godwin 2019
George Kittle,2019,SF,14,85,1053,12.39,75.2,61t,5,53,107,602,61,1,George Kittle 2019
Davante Adams,2019,GB,12,83,997,12.01,83.1,58,5,54,127,388,58,0,Davante Adams 2019
Jarvis Landry,2019,CLE,16,83,1174,14.14,73.4,65,6,55,138,436,65,0,Jarvis Landry 2019
Tyler Lockett,2019,SEA,16,82,1057,12.89,66.1,44t,8,53,110,301,44,1,Tyler Lockett 2019
