Player,Year,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
Michael Thomas,2019,NO,16,149,"1,725",11.58,107.8,49,9,91,185,579
Christian McCaffrey,2019,CAR,16,116,"1,005",8.66,62.8,28,4,58,142,987
Keenan Allen,2019,LAC,16,104,"1,199",11.53,74.9,45,6,63,149,369
DeAndre Hopkins,2019,HOU,15,104,"1,165",11.2,77.7,43t,7,68,150,387
Julian Edelman,2019,NE,16,100,"1,117",11.17,69.8,44,6,54,153,320
Julio Jones,2019,ATL,15,99,"1,394",14.08,92.9,54t,6,77,157,342
Allen Robinson,2019,CHI,16,98,"1,147",11.7,71.7,49,7,63,154,272
Travis Kelce,2019,KC,16,97,"1,229",12.67,76.8,47,5,66,136,410
Cooper Kupp,2019,LA,16,94,"1,161",12.35,72.6,66,10,51,134,538
Austin Ekeler,2019,LAC,16,92,993,10.79,62.1,84t,8,42,108,940
Tyler Boyd,2019,CIN,16,90,"1,046",11.62,65.4,47,5,51,148,348
Darren Waller,2019,OAK,16,90,"1,145",12.72,71.6,75,3,53,117,578
Robert Woods,2019,LA,15,90,"1,134",12.6,75.6,48,2,54,139,576
Zach Ertz,2019,PHI,15,88,916,10.41,61.1,30,6,50,135,255
D.J. Moore,2019,CAR,15,87,"1,175",13.51,78.3,52t,4,63,135,390
Chris Godwin,2019,TB,14,86,"1,333",15.5,95.2,71t,9,63,121,577
George Kittle,2019,SF,14,85,"1,053",12.39,75.2,61t,5,53,107,602
Davante Adams,2019,GB,12,83,997,12.01,83.1,58,5,54,127,388
Jarvis Landry,2019,CLE,16,83,"1,174",14.14,73.4,65,6,55,138,436
Tyler Lockett,2019,SEA,16,82,"1,057",12.89,66.1,44t,8,53,110,301
Alvin Kamara,2019,NO,14,81,533,6.58,38.1,41,1,28,97,557
Tarik Cohen,2019,CHI,16,79,456,5.77,28.5,31,3,18,104,429
Amari Cooper,2019,DAL,16,79,"1,189",15.05,74.3,53t,8,54,119,240
Jamison Crowder,2019,NYJ,16,78,833,10.68,52.1,41,6,41,122,353
Leonard Fournette,2019,JAX,15,76,522,6.87,34.8,27,0,23,100,558
Larry Fitzgerald,2019,ARI,16,75,804,10.72,50.2,54,4,40,109,343
Austin Hooper,2019,ATL,13,75,787,10.49,60.5,35,6,41,97,335
Odell Beckham Jr.,2019,CLE,16,74,"1,035",13.99,64.7,89t,4,44,133,326
D.J. Chark,2019,JAX,15,73,"1,008",13.81,67.2,69,8,42,118,316
John Brown,2019,BUF,15,72,"1,060",14.72,70.7,53t,6,53,115,210
DeVante Parker,2019,MIA,16,72,"1,202",16.69,75.1,51,9,58,128,263
Courtland Sutton,2019,DEN,16,72,"1,112",15.44,69.5,70t,6,50,124,352
James White,2019,NE,15,72,645,8.96,43,59,5,31,95,530
Tyler Higbee,2019,LA,15,69,734,10.64,48.9,33,3,36,89,390
Christian Kirk,2019,ARI,13,68,709,10.43,54.5,69t,3,31,108,286
Cole Beasley,2019,BUF,15,67,778,11.61,51.9,51,6,37,106,330
Mike Evans,2019,TB,13,67,"1,157",17.27,89,67t,8,54,118,261
Le'Veon Bell,2019,NYJ,15,66,461,6.98,30.7,23,1,20,78,440
Michael Gallup,2019,DAL,14,66,"1,107",16.77,79.1,62,6,50,113,333
Emmanuel Sanders,2019,DEN/SF,17,66,869,13.17,51.1,75t,5,41,97,237
Dede Westbrook,2019,JAX,15,66,660,10,44,39,3,31,101,311
Kenny Golladay,2019,DET,16,65,"1,190",18.31,74.4,75t,11,52,116,304
Mark Andrews,2019,BAL,15,64,852,13.31,56.8,51,10,44,98,291
Stefon Diggs,2019,MIN,15,63,"1,130",17.94,75.3,66,6,41,94,302
Calvin Ridley,2019,ATL,13,63,866,13.75,66.6,36,7,47,93,138
Jason Witten,2019,DAL,16,63,529,8.4,33.1,33,4,27,83,162
Danny Amendola,2019,DET,15,62,678,10.94,45.2,47t,1,36,97,207
Marvin Jones,2019,DET,13,62,779,12.56,59.9,47,9,41,91,106
Devonta Freeman,2019,ATL,14,59,410,6.95,29.3,28,4,17,70,344
Diontae Johnson,2019,PIT,16,59,680,11.53,42.5,45t,5,31,92,305
Mohamed Sanu,2019,ATL/NE,15,59,520,8.81,34.7,28,2,30,89,194
Dallas Goedert,2019,PHI,15,58,607,10.47,40.5,28t,5,33,87,334
Tyreek Hill,2019,KC,12,58,860,14.83,71.7,57t,7,39,89,280
