Year,Rank,Player,Pos,Cl,Gm,Carries,Net,TDs,Avg,Ydspgm
2012,1,"Ka'Deem Carey, Arizona",RB,SO,13,303,1929,23,6.37,148.38
2012,2,"Stefphon Jefferson, Nevada",RB,JR,13,375,1883,24,5.02,144.85
2012,3,"Le'Veon Bell, Michigan St.",RB,JR,13,382,1793,12,4.69,137.92
2012,4,"Kenjon Barner, Oregon",RB,SR,13,278,1767,21,6.36,135.92
2012,5,"Antonio Andrews, Western Ky.",RB,JR,13,304,1728,11,5.68,132.92
2012,6,"Montee Ball, Wisconsin",RB,SR,14,356,1830,22,5.14,130.71
2012,7,"Jordan Lynch, Northern Ill.",QB,JR,14,294,1815,19,6.17,129.64
2012,8,"David Fluellen, Toledo",RB,JR,12,259,1498,13,5.78,124.83
2012,9,"Johnathan Franklin, UCLA",RB,SR,14,282,1734,13,6.15,123.86
2012,10,"Beau Blankenship, Ohio",RB,JR,13,312,1604,15,5.14,123.38
2012,11,"Giovani Bernard, North Carolina",RB,SO,10,184,1228,12,6.67,122.8
2012,12,"Kasey Carrier, New Mexico",RB,JR,12,255,1469,15,5.76,122.42
2012,13,"Kerwynn Williams, Utah St.",RB,SR,13,218,1512,15,6.94,116.31
2012,14,"Zurlon Tipton, Central Mich.",RB,JR,13,252,1497,19,5.94,115.15
2012,15,"Denard Robinson, Michigan",QB,SR,11,177,1266,7,7.15,115.09
2012,16,"Robbie Rouse, Fresno St.",RB,SR,13,282,1490,12,5.28,114.62
2012,17,"James Sims, Kansas",RB,JR,9,218,1013,9,4.65,112.56
2012,18,"Adam Muema, San Diego St.",RB,SO,13,237,1458,16,6.15,112.15
2012,19,"Bishop Sankey, Washington",RB,SO,13,289,1439,16,4.98,110.69
2012,20,"Stepfan Taylor, Stanford",RB,SR,14,322,1530,13,4.75,109.29
2012,21,"Joseph Randle, Oklahoma St.",RB,JR,13,274,1417,14,5.17,109
2012,22,"Johnny Manziel, Texas A&M",QB,FR,13,201,1410,21,7.01,108.46
2012,22,"Jahwan Edwards, Ball St.",RB,SO,13,232,1410,14,6.08,108.46
2012,24,"Braxton Miller, Ohio St.",QB,SO,12,227,1271,13,5.6,105.92
2012,25,"Montel Harris, Temple",RB,SR,10,186,1054,12,5.67,105.4
2012,26,"Venric Mark, Northwestern",RB,JR,13,226,1366,12,6.04,105.08
2012,27,"Cody Getz, Air Force",RB,SR,12,198,1248,9,6.3,104
2012,27,"Trent Steelman, Army",QB,SR,12,241,1248,17,5.18,104
2012,29,"George Winn, Cincinnati",RB,SR,13,243,1334,13,5.49,102.62
2012,30,"Dri Archer, Kent St.",RB,JR,14,159,1429,16,8.99,102.07
2012,31,"Raymond Maples, Army",RB,JR,12,223,1215,2,5.45,101.25
2012,32,"Latavius Murray, UCF",RB,SR,11,198,1106,15,5.59,100.55
2012,33,"Kenneth Dixon, Louisiana Tech",RB,FR,12,200,1194,27,5.97,99.5
2012,34,"Todd Gurley, Georgia",RB,FR,14,222,1385,17,6.24,98.93
2012,35,"Zach Line, SMU",RB,SR,13,277,1278,13,4.61,98.31
2012,36,"Carlos Hyde, Ohio St.",RB,JR,10,185,970,16,5.24,97
2012,37,"Tim Cornett, UNLV",RB,JR,13,242,1232,7,5.09,94.77
2012,38,"John White, Utah",RB,SR,11,218,1041,8,4.78,94.64
2012,39,"Charles Sims, Houston",RB,JR,9,142,851,11,5.99,94.56
2012,40,"Eddie Lacy, Alabama",RB,JR,14,204,1322,17,6.48,94.43
2012,41,"Trayion Durham, Kent St.",RB,SO,14,276,1316,14,4.77,94
2012,42,"Cody Fajardo, Nevada",QB,SO,12,190,1121,12,5.9,93.42
2012,43,"Jerome Smith, Syracuse",RB,JR,13,227,1171,3,5.16,90.08
2012,44,"Mike Gillislee, Florida",RB,SR,13,244,1152,10,4.72,88.62
2012,45,"Zac Stacy, Vanderbilt",RB,SR,13,207,1141,10,5.51,87.77
2012,46,"D.J. Harper, Boise St.",RB,SR,13,228,1137,15,4.99,87.46
2012,47,"Jawon Chisholm, Akron",RB,SO,11,180,953,5,5.29,86.64
2012,48,"Darrin Reaves, UAB",RB,SO,12,215,1037,13,4.82,86.42
2012,49,"Kendial Lawrence, Missouri",RB,SR,12,200,1025,12,5.13,85.42
2012,50,"Ladarius Perkins, Mississippi St.",RB,JR,12,205,1024,8,5,85.33
2012,51,"Trey Watts, Tulsa",RB,JR,13,186,1108,3,5.96,85.23
2012,52,"Shawn Southward, Troy",RB,SR,12,194,1012,10,5.22,84.33
2012,53,"Tre Mason, Auburn",RB,SO,12,171,1002,8,5.86,83.5
2012,54,"Zach Zwinak, Penn St.",RB,SO,12,203,1000,6,4.93,83.33
2012,55,"Anthon Samuel, Bowling Green",RB,SO,12,202,998,11,4.94,83.17
2012,56,"Andre Ellington, Clemson",RB,SR,13,212,1081,8,5.1,83.15
2012,57,"Bronson Hill, Eastern Mich.",RB,SO,11,140,910,6,6.5,82.73
2012,58,"Jawan Jamison, Rutgers",RB,SO,13,255,1075,4,4.22,82.69
2012,59,"David Oku, Arkansas St.",RB,JR,13,243,1061,16,4.37,81.62
2012,60,"Nathan Jeffery, UTEP",RB,SO,11,184,897,7,4.88,81.55
2012,61,"Mark Weisman, Iowa",RB,SO,10,159,815,8,5.13,81.5
2012,62,"Ameer Abdullah, Nebraska",RB,SO,14,226,1137,8,5.03,81.21
2012,63,"Vintavious Cooper, East Carolina",RB,JR,13,200,1049,7,5.25,80.69
2012,64,"Ray Graham, Pittsburgh",RB,SR,13,222,1042,11,4.69,80.15
2012,65,"T.J. Yeldon, Alabama",RB,FR,14,175,1108,12,6.33,79.14
2012,66,"Duke Johnson, Miami (FL)",RB,FR,12,139,947,10,6.81,78.92
2012,66,"Dareyon Chance, Western Mich.",RB,JR,12,176,947,4,5.38,78.92
2012,68,"De'Leon Eskridge, San Jose St.",RB,SR,13,207,1025,11,4.95,78.85
2012,69,"Storm Woods, Oregon St.",RB,FR,12,192,940,13,4.9,78.33
2012,70,"Lyle McCombs, Connecticut",RB,SO,11,243,860,6,3.54,78.18
2012,71,"Lache Seastrunk, Baylor",RB,SO,13,131,1012,7,7.73,77.85
2012,72,"Kedrick Rhodes, FIU",RB,JR,9,156,699,3,4.48,77.67
2012,73,"Larry Dixon, Army",RB,SO,11,140,839,6,5.99,76.27
2012,74,"Silas Redd, Southern California",RB,JR,12,167,905,9,5.42,75.42
2012,75,"Alonzo Harris, La.-Lafayette",RB,SO,12,170,881,10,5.18,73.42
2012,76,"John Hubert, Kansas St.",RB,JR,13,189,947,15,5.01,72.85
2012,77,"Taylor Martinez, Nebraska",QB,JR,14,195,1019,10,5.23,72.79
2012,78,"Damien Williams, Oklahoma",RB,JR,13,176,946,11,5.38,72.77
2012,79,"Brandin Byrd, North Texas",RB,JR,12,205,860,4,4.2,71.67
2012,80,"Donnell Kirkwood, Minnesota",RB,SO,13,218,926,6,4.25,71.23
2012,81,"Jordan Parker, Middle Tenn.",RB,FR,12,166,851,3,5.13,70.92
2012,82,"Rajion Neal, Tennessee",RB,JR,10,156,708,5,4.54,70.8
2012,83,"Collin Klein, Kansas St.",QB,SR,13,207,920,23,4.44,70.77
2012,84,"Theo Riddick, Notre Dame",RB,SR,13,190,917,5,4.83,70.54
2012,85,"Jeff Scott, Ole Miss",RB,JR,12,197,846,6,4.29,70.5
2012,86,"Shadrach Thornton, North Carolina St.",RB,FR,10,154,694,3,4.51,69.4
2012,87,"Christian Powell, Colorado",RB,FR,10,158,691,7,4.37,69.1
2012,88,"Cole Gautsche, New Mexico",QB,FR,11,109,760,7,6.97,69.09
2012,88,"Tony Pierson, Kansas",RB,SO,11,117,760,4,6.5,69.09
2012,90,"Kain Colter, Northwestern",QB,JR,13,170,894,12,5.26,68.77
2012,91,"Walter Kazee, San Diego St.",RB,SR,12,161,822,8,5.11,68.5
2012,92,"Glasco Martin, Baylor",RB,JR,13,179,889,15,4.97,68.38
2012,93,"Gee Gee Greene, Navy",RB,SR,13,120,877,3,7.31,67.46
2012,94,"Cierre Wood, Notre Dame",RB,SR,11,114,742,4,6.51,67.45
2012,95,"Ray Holley, Louisiana Tech",RB,SR,11,142,740,7,5.21,67.27
2012,96,"Akeem Shavers, Purdue",RB,SR,13,181,871,6,4.81,67
2012,96,"Kevin Grooms, Marshall",RB,FR,11,121,737,8,6.09,67
2012,98,"Ja'Terian Douglas, Tulsa",RB,JR,14,137,936,7,6.83,66.86
2012,99,"C.J. Anderson, California",RB,SR,12,126,790,4,6.27,65.83
2012,100,"Andrew Buie, West Virginia",RB,SO,13,179,851,7,4.75,65.46
2011,1,"LaMichael James, Oregon",RB,JR,12,247,1805,18,7.31,150.42
